Type,Post Date,Description,Amount,Check or Slip #
DEBIT,05/20/2015,"STATE OF CA DEPT OF D 916-464-5000 CA        05/19",-313.48,
CREDIT,05/19/2015,"Online Transfer from CHK ...9657 transaction#: 4639594782",313.48,
DEBIT,05/19/2015,"ANSAR GALLERY TUSTIN CA                      05/18",-5.37,
CREDIT,05/18/2015,"Online Transfer from CHK ...9570 transaction#: 4638600591",25.36,
CREDIT,05/18/2015,"Online Transfer from CHK ...9570 transaction#: 4638601748",24.76,
CREDIT,05/18/2015,"Online Transfer from CHK ...9570 transaction#: 4637795722",21.57,
DEBIT,05/18/2015,"AMERINOC COM 877-805-6542 CA                 05/15",-9.95,
DEBIT,05/18/2015,"DOMINO'S 7893 TUSTIN CA                      05/16",-23.57,
DEBIT,05/18/2015,"OFFICE MAX/OFFI 13728 IRVINE CA      205682  05/18",-25.36,
DEBIT,05/18/2015,"MICHAELS STORES INC772 TUSTIN CA     321479  05/18",-24.76,
