Type,Post Date,Description,Amount,Check or Slip #
CREDIT,05/18/2015,"Online Transfer from CHK ...9570 transaction#: 4637791736",1000.00,
CREDIT,05/18/2015,"Online Transfer from CHK ...9570 transaction#: 4638603880",300.00,
CREDIT,05/18/2015,"Online Transfer from CHK ...9570 transaction#: 4637788465",64.49,
CHECK,05/18/2015,"CHECK 228 ",-655.15,228
CHECK,05/18/2015,"CHECK 227 ",-300.00,227
CHECK,05/15/2015,"CHECK 225 ",-140.00,225
CREDIT,05/15/2015,"INTEREST PAYMENT",0.04,
CREDIT,05/14/2015,"Online Transfer from CHK ...9570 transaction#: 4629258246",30.00,
DEBIT,05/14/2015,"TCA FASTRAK R 949-727-4800 CA                05/14",-5.78,
DEBIT,05/14/2015,"Online Transfer to CHK ...2339 transaction#: 4629258861 05/14",-50.00,
CHECK,05/14/2015,"CHECK 224 ",-872.73,224
DEBIT,05/13/2015,"ENTERPRISE RENT-A-CAR TUSTIN CA              05/12",-100.00,
DEBIT,05/13/2015,"TCA FASTRAK R 949-727-4800 CA                05/13",-5.68,
